date,desemprego,emprego,net empregos,olx emprego,subsidio desemprego,iefp,centro de emprego,linkedin,ofertas emprego
01/01/2004,38,67,7,0,30,35,37,0,29
01/02/2004,52,68,7,0,16,48,24,0,26
01/03/2004,28,71,3,0,9,41,40,0,44
01/04/2004,59,62,4,0,7,36,42,0,36
01/05/2004,50,58,2,0,17,36,38,0,16
01/06/2004,31,65,2,0,19,47,39,0,48
01/07/2004,36,75,5,0,26,44,52,1,33
01/08/2004,37,85,6,0,27,68,63,0,45
01/09/2004,38,100,8,0,27,70,63,0,60
01/10/2004,43,82,8,0,26,41,50,2,47
01/11/2004,53,64,3,0,25,50,38,0,62
01/12/2004,26,60,5,0,5,54,47,0,29
01/01/2005,42,69,4,0,23,50,58,1,38
01/02/2005,46,71,4,0,42,65,52,0,57
01/03/2005,51,65,5,0,34,72,54,0,25
01/04/2005,35,58,5,0,18,67,50,0,45
01/05/2005,38,55,4,0,16,49,50,1,39
01/06/2005,39,55,3,0,20,51,57,0,31
01/07/2005,32,65,4,0,34,76,63,0,57
01/08/2005,31,70,8,0,38,72,63,1,62
01/09/2005,27,81,9,0,20,94,91,1,70
01/10/2005,34,72,10,0,10,76,56,0,49
01/11/2005,38,63,6,0,31,69,36,1,42
01/12/2005,26,52,5,0,16,57,46,0,36
01/01/2006,49,74,8,0,34,93,85,0,57
01/02/2006,36,65,6,0,16,73,69,1,37
01/03/2006,54,61,7,0,31,69,65,1,45
01/04/2006,40,56,8,0,35,75,59,0,43
01/05/2006,37,56,9,0,23,74,57,1,42
01/06/2006,34,68,8,0,19,73,61,1,50
01/07/2006,26,62,10,0,17,85,68,1,36
01/08/2006,35,74,12,0,29,68,78,0,52
01/09/2006,41,87,12,0,28,89,100,1,65
01/10/2006,43,70,13,0,31,89,69,1,54
01/11/2006,43,61,12,0,17,72,65,1,42
01/12/2006,32,46,7,0,11,69,57,1,25
01/01/2007,45,71,11,0,24,89,79,2,64
01/02/2007,37,64,10,1,21,89,66,1,42
01/03/2007,34,61,10,0,16,89,65,2,41
01/04/2007,37,54,10,0,32,72,53,2,49
01/05/2007,44,56,12,0,25,74,59,1,52
01/06/2007,34,55,10,0,18,76,60,2,45
01/07/2007,29,61,14,1,24,77,58,1,53
01/08/2007,29,66,17,1,18,81,72,2,66
01/09/2007,37,73,16,1,37,88,90,2,67
01/10/2007,40,69,20,1,27,100,83,3,58
01/11/2007,35,58,17,1,26,81,58,3,52
01/12/2007,24,52,13,1,13,64,51,3,36
01/01/2008,39,67,18,2,24,85,69,3,68
01/02/2008,42,64,18,2,19,85,68,3,55
01/03/2008,32,59,17,2,16,65,60,4,50
01/04/2008,39,55,16,3,23,79,56,4,58
01/05/2008,43,52,14,2,19,73,57,4,55
01/06/2008,33,53,17,4,15,70,49,8,53
01/07/2008,29,58,19,2,23,71,64,7,57
01/08/2008,30,57,21,3,29,70,56,4,67
01/09/2008,38,69,29,6,38,86,75,6,75
01/10/2008,40,62,26,4,31,82,64,7,65
01/11/2008,42,52,25,4,32,76,53,8,51
01/12/2008,35,47,25,3,26,59,42,5,47
01/01/2009,58,65,37,7,56,80,79,7,62
01/02/2009,57,62,41,6,47,83,70,8,61
01/03/2009,55,61,43,8,51,79,67,11,72
01/04/2009,50,53,41,5,47,73,55,13,56
01/05/2009,51,49,36,6,38,67,48,12,46
01/06/2009,38,49,36,5,29,65,53,13,47
01/07/2009,37,51,37,9,41,70,56,10,47
01/08/2009,29,55,41,7,28,67,59,12,60
01/09/2009,42,61,54,9,48,87,69,14,77
01/10/2009,44,56,48,10,40,71,64,16,61
01/11/2009,48,52,51,9,45,73,51,18,56
01/12/2009,39,40,45,6,40,59,39,17,40
01/01/2010,52,53,62,8,53,73,59,20,67
01/02/2010,41,49,58,7,39,68,57,18,54
01/03/2010,48,53,65,9,53,83,55,23,66
01/04/2010,48,47,63,9,56,68,53,21,57
01/05/2010,47,45,56,7,50,67,43,18,53
01/06/2010,42,45,56,7,47,60,44,24,52
01/07/2010,42,47,57,6,54,65,46,28,50
01/08/2010,38,51,59,8,49,69,49,24,63
01/09/2010,57,57,75,16,76,69,55,31,77
01/10/2010,48,51,71,11,55,68,46,28,50
01/11/2010,40,48,57,7,40,60,42,31,55
01/12/2010,38,38,49,10,43,45,31,26,40
01/01/2011,50,67,71,10,49,72,58,29,82
01/02/2011,47,63,72,10,53,67,54,32,73
01/03/2011,51,66,68,11,53,63,45,30,82
01/04/2011,42,50,63,11,42,55,41,27,63
01/05/2011,52,54,61,11,51,60,41,33,75
01/06/2011,45,44,62,9,48,54,40,35,61
01/07/2011,43,53,62,8,50,51,39,36,64
01/08/2011,43,60,66,13,49,58,47,37,78
01/09/2011,63,79,89,12,84,66,73,43,100
01/10/2011,64,76,88,13,81,61,67,48,95
01/11/2011,69,68,91,19,86,57,62,45,90
01/12/2011,61,49,78,13,85,48,45,49,59
01/01/2012,75,76,100,18,99,64,64,51,100
01/02/2012,81,71,98,13,100,65,61,55,82
01/03/2012,73,63,96,14,90,67,52,57,84
01/04/2012,70,55,77,12,86,58,37,50,76
01/05/2012,64,53,74,11,70,64,37,49,69
01/06/2012,58,50,74,12,66,61,38,52,72
01/07/2012,60,51,82,13,78,67,41,50,79
01/08/2012,52,50,83,14,67,68,43,50,73
01/09/2012,71,64,92,23,93,78,52,54,95
01/10/2012,77,59,95,25,91,76,46,63,84
01/11/2012,57,53,92,28,69,65,36,67,77
01/12/2012,53,35,74,28,61,68,30,59,59
01/01/2013,76,59,98,38,96,98,43,71,84
01/02/2013,59,51,94,35,78,84,39,76,77
01/03/2013,53,52,86,45,59,73,37,78,75
01/04/2013,61,49,84,51,77,74,34,78,68
01/05/2013,53,44,81,35,60,72,33,77,62
01/06/2013,46,38,78,29,48,67,31,70,60
01/07/2013,46,45,79,48,58,71,34,76,61
01/08/2013,40,45,82,56,50,71,34,73,68
01/09/2013,53,56,89,47,69,84,47,77,85
01/10/2013,56,54,89,53,69,89,41,78,70
01/11/2013,54,47,81,67,69,76,32,71,63
01/12/2013,42,34,68,59,51,66,28,65,54
01/01/2014,56,55,85,52,75,81,43,75,76
01/02/2014,51,48,85,50,59,84,33,80,74
01/03/2014,45,47,78,64,56,74,33,77,74
01/04/2014,46,43,74,77,59,68,29,76,55
01/05/2014,48,42,74,54,50,77,30,78,66
01/06/2014,46,37,75,47,52,71,27,77,60
01/07/2014,47,42,75,59,60,79,29,81,62
01/08/2014,42,41,75,85,50,68,32,77,59
01/09/2014,51,58,87,93,64,90,45,89,79
01/10/2014,55,51,84,73,75,88,36,95,72
01/11/2014,50,46,77,65,55,77,32,97,65
01/12/2014,47,35,65,72,63,62,24,78,55
01/01/2015,61,56,83,100,77,86,37,95,83
01/02/2015,56,52,85,92,69,86,31,93,79
01/03/2015,50,51,80,70,65,89,34,100,72
01/04/2015,55,47,74,66,65,81,30,95,66
01/05/2015,49,42,66,91,52,73,27,90,60
01/06/2015,46,44,63,83,51,78,29,87,59
01/07/2015,50,40,65,56,58,78,30,89,55
01/08/2015,40,37,66,52,48,71,30,84,63
01/09/2015,54,52,72,69,64,90,38,93,79
01/10/2015,50,51,66,82,63,91,32,99,67
01/11/2015,48,43,69,63,56,83,27,97,67
01/12/2015,45,30,52,41,55,61,22,82,52
01/01/2016,49,47,56,54,60,71,28,73,72
01/02/2016,52,44,56,57,59,67,28,81,65
01/03/2016,47,45,52,67,53,68,24,78,66
01/04/2016,46,41,41,60,53,58,24,71,59
01/05/2016,44,37,40,49,47,60,25,74,54
01/06/2016,43,32,37,41,46,51,23,73,45
01/07/2016,44,30,37,40,47,52,24,65,48
01/08/2016,35,30,44,42,42,45,22,60,47
01/09/2016,51,48,54,59,64,64,31,79,74
01/10/2016,48,40,54,46,54,53,26,74,65
01/11/2016,43,38,54,46,50,46,21,77,63
01/12/2016,41,27,39,42,43,36,17,61,45
01/01/2017,53,47,42,60,62,56,26,74,72
01/02/2017,46,45,39,64,56,52,22,70,67
01/03/2017,46,44,55,58,50,54,25,73,60
01/04/2017,41,29,42,40,48,39,20,64,45
01/05/2017,46,35,34,45,50,48,21,72,55
01/06/2017,44,32,38,46,55,43,19,62,53
01/07/2017,39,33,38,44,45,41,20,64,55
01/08/2017,43,34,40,46,51,34,22,62,50
01/09/2017,48,45,48,50,56,52,28,73,66
01/10/2017,49,43,49,48,62,48,24,72,59
01/11/2017,51,38,50,47,61,50,23,76,56
01/12/2017,37,27,37,42,41,35,17,60,40
01/01/2018,53,48,56,53,65,53,25,75,66
01/02/2018,45,42,52,44,48,52,23,80,66
01/03/2018,44,38,47,43,45,44,21,74,53
01/04/2018,40,35,41,46,43,47,18,69,52
01/05/2018,42,32,39,38,46,51,18,75,46
01/06/2018,42,28,34,37,49,44,16,64,41
01/07/2018,41,30,35,36,52,39,17,65,48
01/08/2018,36,29,33,33,40,32,17,60,43
01/09/2018,47,44,47,47,60,52,25,70,61
01/10/2018,45,42,43,47,46,47,22,69,60
01/11/2018,48,38,42,47,50,40,18,69,61
01/12/2018,37,26,30,35,40,32,16,55,41
01/01/2019,58,47,46,54,73,50,22,67,67
01/02/2019,50,42,43,53,59,42,19,69,58
01/03/2019,46,40,38,46,51,39,19,65,53
01/04/2019,37,35,35,47,44,31,17,59,49
01/05/2019,44,34,34,43,41,37,17,68,46
01/06/2019,36,29,33,39,40,31,16,64,44
01/07/2019,37,34,34,39,43,32,15,66,42
01/08/2019,32,30,31,40,36,25,16,58,41
01/09/2019,47,42,40,44,53,41,22,73,60
01/10/2019,47,41,42,50,51,39,21,73,53
01/11/2019,44,39,37,47,48,38,18,67,44
01/12/2019,38,27,30,37,41,30,13,62,35
01/01/2020,51,47,45,48,60,38,22,77,60
01/02/2020,49,43,43,48,54,43,18,76,53
01/03/2020,88,31,26,38,88,41,25,66,33
01/04/2020,100,25,23,32,97,45,25,64,27
01/05/2020,76,38,31,42,65,43,24,68,42
01/06/2020,74,44,38,47,76,46,31,66,50
01/07/2020,78,45,40,42,79,52,31,75,51
01/08/2020,68,43,36,39,73,55,28,65,51
01/09/2020,73,50,41,43,77,64,35,78,63
01/10/2020,72,46,39,44,67,61,32,71,58
01/11/2020,71,37,31,39,71,51,27,67,42
01/12/2020,61,28,25,30,65,40,20,53,35
01/01/2021,82,38,30,35,83,46,26,60,49
01/02/2021,70,33,29,34,75,45,21,63,47
01/03/2021,65,36,34,35,59,49,23,72,50
01/04/2021,58,38,36,37,58,47,22,67,51
01/05/2021,50,37,35,34,47,58,22,68,47
01/06/2021,48,32,33,30,50,49,21,61,47
01/07/2021,44,32,33,24,44,47,21,58,44
01/08/2021,44,31,32,27,43,37,20,49,46
01/09/2021,50,40,39,31,52,53,24,66,55
01/10/2021,46,39,38,30,49,50,22,65,51
01/11/2021,47,34,36,29,45,45,18,67,50
01/12/2021,48,24,29,21,54,37,14,60,37
01/01/2022,60,37,41,32,66,51,19,74,53
01/02/2022,49,36,44,33,42,52,19,80,55
01/03/2022,47,40,45,43,52,55,19,82,48
01/04/2022,42,33,40,33,38,44,16,72,47
